1,Elephant and Castle,1,9,0,0,0,0,2,265,229,0,0,0,0,0,0
2,Lambeth North,1,0,0,0,0,0,3,1,0,0,0,0,0,0,0
3,Waterloo,1,7,9,14,0,0,4,199,47,2,229,95,0,0,0
4,Embankment,1,4,9,0,0,0,5,94,3,95,0,0,0,0,0
5,Charing Cross,1,9,0,0,0,0,6,230,4,0,0,0,0,0,0
6,Piccadilly Circus,1,11,0,0,0,0,7,198,5,230,0,0,0,0,0
7,Oxford Circus,1,2,13,0,0,0,8,43,232,6,42,198,0,0,0
8,Regents Park,1,0,0,0,0,0,9,7,0,0,0,0,0,0,0
9,Baker Street,1,3,6,7,8,0,10,82,42,8,11,197,195,0,0
10,Marylebone,1,0,0,0,0,0,11,9,0,0,0,0,0,0,0
11,Edgware Road (Bakerloo),1,3,4,6,0,0,9,10,12,0,0,0,0,0,0
12,Paddington,1,3,4,6,12,0,13,11,81,102,0,0,0,0,0
13,Warwick Avenue,1,0,0,0,0,0,14,12,0,0,0,0,0,0,0
14,Maida Vale,1,0,0,0,0,0,15,13,0,0,0,0,0,0,0
15,Kilburn Park,1,0,0,0,0,0,16,14,0,0,0,0,0,0,0
16,Queens Park,1,10,0,0,0,0,17,15,0,0,0,0,0,0,0
17,Kensal Green,1,10,0,0,0,0,18,16,0,0,0,0,0,0,0
18,Willesden Junction,1,10,0,0,0,0,19,348,36,17,347,0,0,0,0
19,Harlesden,1,10,0,0,0,0,20,18,0,0,0,0,0,0,0
20,Stonebridge Park,1,10,0,0,0,0,21,19,0,0,0,0,0,0,0
21,Wembley Central,1,10,0,0,0,0,22,20,0,0,0,0,0,0,0
22,North Wembley,1,10,0,0,0,0,23,21,0,0,0,0,0,0,0
23,South Kenton,1,10,0,0,0,0,24,22,0,0,0,0,0,0,0
24,Kenton,1,10,0,0,0,0,25,23,0,0,0,0,0,0,0
25,Harrow and Wealdstone,1,10,0,0,0,0,309,24,0,0,0,0,0,0,0
26,West Ruslip,2,0,0,0,0,0,27,0,0,0,0,0,0,0,0
27,Ruislip Gardens,2,0,0,0,0,0,26,28,0,0,0,0,0,0,0
28,South Ruislip,2,0,0,0,0,0,27,29,0,0,0,0,0,0,0
29,Northolt,2,0,0,0,0,0,28,30,0,0,0,0,0,0,0
30,Greenford,2,0,0,0,0,0,29,31,0,0,0,0,0,0,0
31,Perivale,2,0,0,0,0,0,30,32,0,0,0,0,0,0,0
32,Hanger Lane,2,0,0,0,0,0,31,33,0,0,0,0,0,0,0
33,North Acton,2,0,0,0,0,0,32,34,0,0,0,0,0,0,0
34,East Acton,2,0,0,0,0,0,33,35,0,0,0,0,0,0,0
35,White City,2,0,0,0,0,0,34,36,0,0,0,0,0,0,0
36,Shepherds Bush (Central),2,0,0,0,0,0,35,37,0,0,0,0,0,0,0
37,Holland Park,2,0,0,0,0,0,36,38,0,0,0,0,0,0,0
38,Notting Hill Gate,2,4,0,0,0,0,37,39,102,101,0,0,0,0,0
39,Queensway,2,0,0,0,0,0,38,40,0,0,0,0,0,0,0
40,Lancaster Gate,2,0,0,0,0,0,39,41,0,0,0,0,0,0,0
41,Marble Arch,2,0,0,0,0,0,40,42,0,0,0,0,0,0,0
42,Bond Street,2,7,0,0,0,0,41,7,198,9,0,0,0,0,0
43,Tottenham Court Road,2,9,0,0,0,0,42,44,231,7,230,0,0,0,0
44,Holborn,2,11,0,0,0,0,43,45,367,366,0,0,0,0,0
45,Chancery Lane,2,5,9,14,0,0,44,46,0,0,0,0,0,0,0
46,St. Pauls,2,0,0,0,0,0,45,47,0,0,0,0,0,0,0
47,Bank,2,0,0,0,0,0,46,48,143,87,200,3,0,0,0
48,Liverpool Street,2,0,0,0,0,0,47,49,88,87,113,51,0,0,0
49,Bethnal Green,2,10,0,0,0,0,48,50,314,0,0,0,0,0,0
50,Mile End,2,4,6,0,0,0,49,51,116,115,0,0,0,0,0
51,Stratford,2,5,7,12,0,0,50,52,166,173,339,48,172,118,409
52,Leyton,2,10,0,0,0,0,51,53,0,0,0,0,0,0,0
53,Leytonstone,2,10,0,0,0,0,52,54,64,0,0,0,0,0,0
